09:12:05:898, Thread-9: Customer 53b45ebb-4484-4230-bbf5-7b2908cc9177 is now waiting
09:12:06:03, Thread-9: Door made new customer 207fa085-bcda-4078-8ede-2970a4b43ec8
09:12:06:12, Thread-9: Customer 207fa085-bcda-4078-8ede-2970a4b43ec8 is now waiting
09:12:06:118, Thread-9: Door made new customer 77321455-a221-416c-b721-e9fa05093c9a
09:12:06:126, Thread-9: Customer 77321455-a221-416c-b721-e9fa05093c9a is now waiting
09:12:06:231, Thread-9: Door made new customer f84e2536-b0c0-4e93-abea-553173c52d96
09:12:06:239, Thread-9: Customer f84e2536-b0c0-4e93-abea-553173c52d96 is now waiting
09:12:06:342, Thread-9: Door made new customer a08c6ce4-e06b-4d82-9864-4b5e352ba732
09:12:06:351, Thread-9: Customer a08c6ce4-e06b-4d82-9864-4b5e352ba732 is now waiting
09:12:06:456, Thread-9: Door made new customer 30900298-9989-4165-a6ce-c903a01479f8
09:12:06:469, Thread-9: Customer 30900298-9989-4165-a6ce-c903a01479f8 is now waiting
09:12:06:573, Thread-9: Door made new customer 934328ed-dba8-4d0f-b457-bcca0455d763
09:12:06:582, Thread-9: Customer 934328ed-dba8-4d0f-b457-bcca0455d763 is now waiting
09:12:06:686, Thread-9: Door made new customer 035fd929-25c2-4a25-ab88-5b67c8f761c0
09:12:06:687, Thread-9: Customer 035fd929-25c2-4a25-ab88-5b67c8f761c0 is now waiting
09:12:06:792, Thread-9: Door made new customer dc55e4d9-f751-42a4-96ce-dc16e1516738
09:13:02:607, main: Clock is created
09:13:02:672, main: WaitingArea is created
09:13:02:675, Thread-2: Waitress is LIVE
09:13:02:675, Thread-1: Waitress is LIVE
09:13:02:675, Thread-3: Waitress is LIVE
09:13:02:675, Thread-4: Waitress is LIVE
09:13:02:676, Thread-5: Waitress is LIVE
09:13:02:677, Thread-7: Waitress is LIVE
09:13:02:677, Thread-6: Waitress is LIVE
09:13:02:677, Thread-8: Waitress is LIVE
